Nama Pemohon/Institusi,Emel,No. K/P (baru)/Polis/Tentera/No. Pasport,No. Telefon Bimbit,Declared Income,Savings,Investment (Stocks/Bonds),Gold (grams),Property (number),Profession,Location,Donation Frequency,Average Donation Amount,Fraud Label (Rule-Based)
Aminah binti Ali,aminah.ali95@hotmail.com,681127-54-7008,014-01741890,25467,39491.65,0,284,0,Engineer,Bangsar,2,3961.33,Not Fraud
Tan binti Hui Xin,tan.hui.xin57@msn.com,630428-43-7054,019-30733778,12289.47,62723.5,0,46,0,Engineer,Kuala Lumpur City Centre,12,1879.03,Not Fraud
Goh binti Siew Mei,goh.siew.mei60@hotmail.com,651220-30-5356,010-09175993,12570,71371.54,102640.51,0,0,Accountant,Bangsar,3,4263.35,Not Fraud
Hafiz bin Khan,hafiz.khan4@msn.com,561121-02-5205,012-42608485,17058.1,0,0,429,0,Teacher,Mont Kiara,8,3197.8,Not Fraud
Hafiz bin Ismail,hafiz.ismail58@hotmail.com,690309-16-4867,012-49285527,12693,0,0,182,0,IT Specialist,Petaling Jaya,4,78.19,Not Fraud
Saras binti Suresh,saras.suresh60@gmail.com,910206-40-7582,013-8407883,6811.16,17897.17,0,445,2,Sales Manager,Cheras,2,3928.29,Not Fraud
Ong binti Siew Mei,ong.siew.mei31@yahoo.com,721130-09-9624,011-20534482,13304,13528.67,0,0,0,Doctor,Bangsar,5,1535.6,Not Fraud
Wong bin Kok Leong,wong.kok.leong98@yahoo.com,671001-53-4853,013-6084906,5930.42,0,137040.55,0,5,Farmer,Cheras,1,1688.61,Not Fraud
Hafiz bin Hafiz,hafiz.hafiz26@yahoo.com,600806-24-6697,013-5188600,14046.26,46558.48,39794.04,494,0,Teacher,Mont Kiara,6,780.89,Not Fraud
Lee bin Jun Jie,lee.jun.jie7@hotmail.com,991023-02-2459,019-74386263,5894.81,0,0,0,0,IT Specialist,Cheras,10,1222.68,Fraud
Yap bin Wei Kang,yap.wei.kang78@msn.com,820215-05-5043,018-23693638,10555.62,64782.92,49208.35,0,0,Sales Manager,Cheras,7,4796.89,Not Fraud
Amirul bin Ismail,amirul.ismail68@hotmail.com,830320-36-5315,016-87049008,18928.49,82979.23,104343.61,0,2,Doctor,Mont Kiara,2,2068.5,Not Fraud
Farah binti Abdullah,farah.abdullah34@yahoo.com,600821-31-2722,016-81549384,11008.34,87186.85,0,196,0,IT Specialist,Mont Kiara,4,3951.66,Not Fraud
Aminah binti Syazwan,aminah.syazwan53@outlook.my,940926-56-6446,016-66775835,6267,43997.06,35075.57,152,0,Teacher,Petaling Jaya,12,2268.75,Fraud
Ahmad bin Hafiz,ahmad.hafiz11@hotmail.com,770729-35-7573,019-3109474,12914,65306.36,0,148,0,Sales Manager,Petaling Jaya,7,1728.73,Not Fraud
Tan binti Shi Hui,tan.shi.hui2@yahoo.com,741115-05-4682,010-52122425,6657.02,0,62408.11,0,0,Sales Manager,Mont Kiara,9,1008.3,Fraud
Abdullah bin Amirul,abdullah.amirul42@msn.com,820815-28-1683,011-39038765,29590,59378.1,0,0,2,Business Owner,Petaling Jaya,4,3301.78,Not Fraud
Amirul bin Razak,amirul.razak55@yahoo.com,001115-12-1327,011-31619986,0,23098.1,0,0,0,Unemployed,Subang Jaya,4,4416.05,Not Fraud
Syazwan bin Ali,syazwan.ali37@yahoo.com,610306-11-1743,016-8641551,7587,0,0,0,0,Sales Manager,Subang Jaya,6,1051.75,Not Fraud
Azizah binti bin Abdullah,azizah..abdullah30@hotmail.com,780123-45-1032,013-34355822,5428,79510.24,141887.97,248,0,Retired,Subang Jaya,9,4577.93,Not Fraud
Ong binti Jia Yi,ong.jia.yi29@hotmail.com,730403-48-6088,016-47662161,17947,16152.78,42921.89,0,0,Engineer,Bangsar,12,1576.73,Not Fraud
Muhammad bin Amirul,muhammad.amirul81@msn.com,060924-55-6369,010-6574320,12808,42688.06,0,0,0,Business Owner,Bangsar,3,4206.42,Not Fraud
Lim bin Wei Kang,lim.wei.kang93@msn.com,910507-01-7677,012-5573808,11870,74126.02,51579.75,267,2,Accountant,Subang Jaya,8,2156.99,Not Fraud
Amirul bin Ahmad,amirul.ahmad61@msn.com,750715-12-7597,014-7450657,13223,23021.51,42759.89,0,0,Teacher,Bangsar,8,3054.98,Not Fraud
Wong bin Ah Meng,wong.ah.meng98@hotmail.com,531226-48-4793,010-46703542,16691.76,59135.29,137690.57,380,0,Sales Manager,Mont Kiara,12,2518.97,Not Fraud
Siti binti Hafiz,siti.hafiz32@gmail.com,500925-36-8660,010-71784943,16529,46880.75,97332.48,0,4,Doctor,Petaling Jaya,9,396.59,Not Fraud
Ismail bin Hafiz,ismail.hafiz3@gmail.com,920318-49-7737,014-74592672,5223,29218.31,16645.08,0,0,Teacher,Petaling Jaya,7,2764.96,Not Fraud
Chua binti Mei Ling,chua.mei.ling2@msn.com,631216-57-4344,010-65120101,3070,22610.7,71786.22,0,1,Retired,Subang Jaya,10,62.54,Not Fraud
Azizah binti Hafiz,azizah.hafiz79@hotmail.com,870420-54-7896,018-1952636,6266.89,37805.82,0,0,4,Accountant,Cheras,10,2019.01,Not Fraud
Fatimah binti Muhammad,fatimah.muhammad81@gmail.com,940408-42-4426,010-89715870,0,82838.59,40858.36,0,0,Unemployed,Bangsar,7,3293.32,Fraud
Siti binti bin Abdullah,siti..abdullah27@yahoo.com,570822-30-4752,011-9866590,19521,98932.06,0,0,0,Doctor,Subang Jaya,1,675.94,Not Fraud
Fatimah binti Abdullah,fatimah.abdullah70@outlook.my,640810-25-5396,014-2191958,14636,42416.07,0,29,0,Teacher,Bangsar,11,1910.29,Not Fraud
Khairul bin Khan,khairul.khan84@gmail.com,780528-47-8383,017-90704854,8791.75,41640.14,68669.47,0,4,Farmer,Damansara Heights,6,2787.68,Not Fraud
Aminah binti Syazwan,aminah.syazwan85@yahoo.com,710720-42-5016,016-53887203,14207.47,27710.0,239.61,371,0,Sales Manager,Cheras,10,1154.16,Not Fraud
Chua bin Jia Hao,chua.jia.hao18@outlook.my,800622-26-6479,017-42077158,0.0,43661.34,15969.68,0,0,Unemployed,Mont Kiara,2,2282.02,Not Fraud
Teoh bin Zi Xuan,teoh.zi.xuan60@hotmail.com,730809-38-6851,016-8278310,25694,14693.34,0,0,0,Doctor,Bangsar,1,950.52,Not Fraud
Aishah binti Hafiz,aishah.hafiz21@hotmail.com,810602-06-2278,010-2368032,10439.0,16757.52,116235.63,0,0,Sales Manager,Mont Kiara,6,71.7,Not Fraud
Zainab binti Hafiz,zainab.hafiz31@gmail.com,861225-50-1308,011-4029701,19548.55,36684.82,0,354,0,Engineer,Mont Kiara,1,2704.55,Not Fraud
Wong bin Kok Leong,wong.kok.leong72@gmail.com,740110-39-3649,011-29327469,3681.46,14274.91,102323.37,0,0,Farmer,Mont Kiara,2,622.27,Fraud
Goh binti Shi Hui,goh.shi.hui32@gmail.com,831130-38-9816,017-12165583,14571.57,1651.9,74700.69,426,4,Engineer,Mont Kiara,6,1786.6,Not Fraud
Goh binti Mei Ling,goh.mei.ling59@outlook.my,030325-12-7696,013-60079538,11764,48883.12,0,283,2,IT Specialist,Subang Jaya,11,3058.24,Not Fraud
Amirul bin Muhammad,amirul.muhammad27@msn.com,990810-48-5581,011-97128503,4756,1656.9,131885.84,216,0,Retired,Petaling Jaya,7,2640.61,Not Fraud
Siti binti Ali,siti.ali37@gmail.com,750103-51-1384,014-5385968,0,40666.68,145463.68,0,0,Unemployed,Bangsar,5,2387.91,Fraud
Abdullah bin Khan,abdullah.khan20@outlook.my,051124-53-9465,014-0092720,9754.78,99037.92,190579.57,0,0,IT Specialist,Cheras,4,3328.11,Not Fraud
Azizah binti Syazwan,azizah.syazwan98@hotmail.com,820319-53-5828,017-1000686,0,50744.74,157706.02,472,3,Unemployed,Petaling Jaya,5,1660.28,Fraud
Noraini binti bin Abdullah,noraini..abdullah34@gmail.com,711016-53-5714,010-88538328,16366.22,35821.35,135668.17,0,4,Doctor,Cheras,2,3727.0,Not Fraud
Wong binti Jia Yi,wong.jia.yi53@outlook.my,680812-50-5948,014-9653597,12987,0,172631.77,11,0,IT Specialist,Petaling Jaya,8,4570.35,Not Fraud
Aminah binti Syazwan,aminah.syazwan55@yahoo.com,541118-04-9052,011-92131116,14375,20110.03,0,490,0,IT Specialist,Petaling Jaya,7,760.22,Not Fraud
Lee bin Wei Jie,lee.wei.jie57@gmail.com,811114-38-5709,016-91690825,5052,24142.59,13322.09,0,5,Accountant,Subang Jaya,8,4409.11,Not Fraud
Ng binti Shi Hui,ng.shi.hui57@yahoo.com,950321-03-2310,011-93014270,13467,27290.66,0,0,0,Sales Manager,Bangsar,6,3129.63,Not Fraud
Noraini binti Ahmad,noraini.ahmad37@outlook.my,730606-49-3048,018-93142890,20525.96,41560.84,141060.34,380,2,Engineer,Kuala Lumpur City Centre,4,4266.32,Not Fraud
Yap binti Shi Hui,yap.shi.hui10@outlook.my,960904-11-2300,014-0191981,0.0,0,155666.8,0,0,Unemployed,Kuala Lumpur City Centre,11,2252.9,Fraud
Noraini binti Khan,noraini.khan49@yahoo.com,680708-21-2550,018-03913312,35047.8,50078.57,0,0,0,Business Owner,Kuala Lumpur City Centre,5,2218.13,Not Fraud
Abdullah bin Ismail,abdullah.ismail30@outlook.my,790409-51-7901,012-9382707,3578.19,0,147526.46,107,0,Farmer,Kuala Lumpur City Centre,8,4215.71,Fraud
Farah binti Razak,farah.razak88@hotmail.com,830527-23-9956,014-10046421,14374,46418.57,24604.73,0,0,Accountant,Bangsar,3,418.72,Not Fraud
Siti binti Syazwan,siti.syazwan58@gmail.com,590408-07-3612,017-77286035,6587,61290.96,31966.03,0,0,Farmer,Bangsar,7,2491.15,Not Fraud
Ismail bin Ahmad,ismail.ahmad76@outlook.my,780728-14-2045,018-4441585,13130.48,0,126027.99,0,0,Business Owner,Kuala Lumpur City Centre,7,50.4,Not Fraud
Hafiz bin Amirul,hafiz.amirul57@yahoo.com,531205-28-6743,014-7581187,10715.14,97898.65,0,0,5,Sales Manager,Damansara Heights,9,332.4,Not Fraud
Aishah binti Muhammad,aishah.muhammad92@outlook.my,650913-50-4454,010-87617990,22648.02,92541.6,125961.71,0,3,Business Owner,Cheras,10,1285.12,Not Fraud
Lim bin Jun Jie,lim.jun.jie42@msn.com,880328-36-1765,010-9361167,5885,39075.61,125409.35,0,0,Farmer,Petaling Jaya,5,1586.48,Not Fraud
Noraini binti Abdullah,noraini.abdullah10@gmail.com,710507-35-9846,014-47117422,12587,94740.12,0,418,5,Teacher,Bangsar,2,3647.79,Not Fraud
Ahmad bin Ahmad,ahmad.ahmad67@outlook.my,751117-27-7103,017-63628794,29557,97632.4,109878.65,0,0,Doctor,Subang Jaya,8,151.75,Not Fraud
Fatimah binti binti Abdullah,fatimah..abdullah14@msn.com,911102-01-5594,018-4708981,0.0,0,161807.87,0,0,Unemployed,Mont Kiara,9,1037.12,Fraud
Lim binti Xin Yi,lim.xin.yi41@outlook.my,620113-52-8204,014-99185063,13792,0,36317.01,399,0,Teacher,Petaling Jaya,7,2387.88,Not Fraud
Ali bin Razak,ali.razak11@outlook.my,560918-36-7387,012-5441996,6813,94063.23,24510.35,0,4,Sales Manager,Subang Jaya,12,3545.18,Not Fraud
Nur binti Ismail,nur.ismail95@msn.com,600526-41-5238,011-74620006,5644.88,62965.58,33916.96,0,0,Retired,Kuala Lumpur City Centre,2,4089.07,Not Fraud
Ong bin Ah Meng,ong.ah.meng76@gmail.com,010417-37-3063,016-81843008,26084.24,79817.65,0,408,0,Doctor,Mont Kiara,5,1951.16,Not Fraud
Yap binti Mei Ling,yap.mei.ling88@msn.com,530209-23-8114,019-2982905,34217.52,70864.61,0,0,5,Doctor,Kuala Lumpur City Centre,9,2729.39,Not Fraud
Azizah binti Ahmad,azizah.ahmad41@hotmail.com,000415-43-5250,019-39789532,12217.98,20159.18,26606.4,0,0,Accountant,Mont Kiara,12,1702.93,Not Fraud
Goh binti Pei Shan,goh.pei.shan63@msn.com,500512-22-2886,013-1327693,21749,61863.56,0,0,0,Engineer,Bangsar,10,3534.86,Not Fraud
Lim bin Wei Lun,lim.wei.lun74@yahoo.com,030918-02-1493,014-5716488,5918.85,72988.91,0,0,0,Retired,Mont Kiara,12,3677.47,Not Fraud
Muhammad bin Hafiz,muhammad.hafiz65@msn.com,920227-46-5103,012-4393855,33757.05,71710.84,0,416,2,Doctor,Mont Kiara,8,950.13,Not Fraud
Goh binti Mei Ling,goh.mei.ling63@gmail.com,050228-52-9296,011-83339859,18740,3824.03,139978.09,0,0,Engineer,Bangsar,11,2856.83,Not Fraud
Ismail bin Ismail,ismail.ismail92@yahoo.com,501211-04-2451,010-48145480,24845.3,39291.13,0,0,0,Doctor,Cheras,2,1031.46,Not Fraud
Ali bin Ismail,ali.ismail63@msn.com,900417-39-8383,011-09915557,5190,39705.18,57460.44,0,0,Farmer,Bangsar,11,3342.48,Not Fraud
Fatimah binti Ismail,fatimah.ismail19@yahoo.com,690514-44-6942,013-73726044,0.0,21489.18,29306.88,0,0,Unemployed,Kuala Lumpur City Centre,11,3058.67,Fraud
Chua binti Shi Hui,chua.shi.hui77@outlook.my,680830-39-2496,013-74284434,3664.62,63966.21,111841.95,297,3,Retired,Kuala Lumpur City Centre,7,4564.97,Fraud
Tan binti Hui Xin,tan.hui.xin50@yahoo.com,561006-29-4096,018-4227966,2089.25,15507.5,96858.72,0,0,Retired,Damansara Heights,8,4625.84,Fraud
Sharifah binti Abdullah,sharifah.abdullah3@yahoo.com,650428-02-9520,012-7023882,0.0,60758.98,0,0,0,Unemployed,Damansara Heights,7,64.05,Not Fraud
Siti binti Ismail,siti.ismail89@yahoo.com,890412-08-9528,018-33971906,7160.88,26324.15,64479.86,0,0,Teacher,Damansara Heights,5,4359.09,Not Fraud
Lim bin Wei Jie,lim.wei.jie19@hotmail.com,790629-14-9245,019-7232995,4967.88,45883.08,0,0,0,Retired,Cheras,2,2692.72,Not Fraud
Goh bin Wei Jie,goh.wei.jie16@gmail.com,010824-49-3027,010-72372131,8134.94,86113.05,0,169,0,Accountant,Cheras,4,3716.21,Not Fraud
Ali bin Ahmad,ali.ahmad70@hotmail.com,501204-23-8081,010-60383072,11051.93,10398.41,159140.11,0,4,Sales Manager,Kuala Lumpur City Centre,11,2479.95,Not Fraud
Zainab binti Ismail,zainab.ismail29@outlook.my,930813-44-4440,017-3838889,1949,42332.36,110119.54,463,5,Retired,Bangsar,5,1523.56,Fraud
Farah binti Singh,farah.singh47@yahoo.com,810916-53-7024,016-47674285,16140.1,7852.14,56353.5,454,0,Business Owner,Cheras,9,4313.73,Not Fraud
Sharifah binti Razak,sharifah.razak23@hotmail.com,601028-29-5982,014-10841912,6935.29,0,83240.22,0,0,Farmer,Kuala Lumpur City Centre,3,3255.76,Not Fraud
Vanitha binti Saravanan,vanitha.saravanan8@hotmail.com,851018-27-3696,017-9789676,0.0,97879.59,0,15,0,Unemployed,Damansara Heights,6,2960.77,Not Fraud
Siti binti Ahmad,siti.ahmad40@hotmail.com,720405-25-7652,013-6075876,9959,0,101874.34,20,0,Sales Manager,Subang Jaya,6,1931.73,Not Fraud
Ong bin Wei Jie,ong.wei.jie68@yahoo.com,640323-53-7019,010-42966744,13165.76,90133.6,0,28,0,IT Specialist,Damansara Heights,9,3364.91,Not Fraud
Amirul bin Ali,amirul.ali88@hotmail.com,561205-48-5643,013-33625693,11010,23650.07,167868.64,0,0,Teacher,Petaling Jaya,11,3463.72,Not Fraud
Tan binti Jia Yi,tan.jia.yi91@hotmail.com,660916-54-2886,016-6307671,0,90279.59,0,334,0,Unemployed,Bangsar,8,766.56,Fraud
Razak bin Muhammad,razak.muhammad6@msn.com,060925-21-4283,013-69570663,5626,20379.76,87608.23,0,0,Teacher,Petaling Jaya,8,4229.91,Not Fraud
Lee binti Yee Von,lee.yee.von65@msn.com,840720-14-6168,010-59133934,19194,53583.22,0,358,0,Engineer,Petaling Jaya,7,4494.51,Not Fraud
Azizah binti Ali,azizah.ali60@yahoo.com,050517-48-4854,014-89874070,11498.34,66529.62,154871.96,70,0,IT Specialist,Kuala Lumpur City Centre,5,1909.53,Not Fraud
Chua bin Wei Jie,chua.wei.jie22@gmail.com,501110-46-3683,014-6704943,14302.66,62202.89,168628.21,0,0,Business Owner,Mont Kiara,12,3135.31,Not Fraud
Zainab binti Razak,zainab.razak96@outlook.my,630318-35-1842,011-9108462,20612,79601.21,16658.55,0,0,Engineer,Petaling Jaya,8,492.63,Not Fraud
Siti binti Hafiz,siti.hafiz98@gmail.com,570906-46-9102,011-6966571,14567,92521.31,0,0,0,Accountant,Bangsar,11,586.17,Not Fraud
Razak bin Razak,razak.razak51@msn.com,711220-03-2339,014-1054233,22396.32,23831.07,149030.51,0,0,Engineer,Cheras,4,1849.89,Not Fraud
Syazwan bin Ahmad,syazwan.ahmad82@yahoo.com,621223-30-8869,017-0829055,7038,8831.9,0,133,0,Accountant,Subang Jaya,6,4443.72,Not Fraud
Chua bin Ah Meng,chua.ah.meng16@gmail.com,820723-23-8587,010-4215772,18381.79,41374.43,0,0,0,Teacher,Mont Kiara,10,224.83,Not Fraud
Suresh bin Suresh,suresh.suresh74@yahoo.com,540306-41-8371,014-0631546,16010,26326.47,176887.44,0,0,Business Owner,Subang Jaya,1,4714.88,Not Fraud
Amirul bin Ahmad,amirul.ahmad5@gmail.com,610718-41-2445,014-16018948,6184,81630.74,56536.47,0,0,Accountant,Bangsar,5,1171.77,Fraud
Noraini binti Amirul,noraini.amirul9@yahoo.com,640930-01-9926,018-24218757,5752,65794.11,0,350,0,Retired,Petaling Jaya,6,3727.77,Not Fraud
Teoh bin Kok Leong,teoh.kok.leong14@msn.com,930210-58-5743,012-00146413,17785.53,63581.83,74504.0,0,1,Sales Manager,Kuala Lumpur City Centre,5,894.08,Not Fraud
Hafiz bin Singh,hafiz.singh13@outlook.my,520122-50-7853,016-7197158,37899.87,39100.03,0,277,0,Engineer,Kuala Lumpur City Centre,3,4829.94,Not Fraud
Abdullah bin Ismail,abdullah.ismail41@outlook.my,951208-22-8143,016-9790504,4218,39413.77,0,359,0,Retired,Subang Jaya,9,3079.94,Not Fraud
Ali bin Ahmad,ali.ahmad19@yahoo.com,680529-26-6267,016-53461845,0,65072.28,0,179,1,Unemployed,Petaling Jaya,11,3384.61,Fraud
Razak bin Muhammad,razak.muhammad67@gmail.com,990424-13-4059,018-3619302,22086.51,44905.0,85587.8,412,0,Doctor,Kuala Lumpur City Centre,10,4850.36,Not Fraud
Malar binti Suresh,malar.suresh29@gmail.com,010422-06-3392,017-68363307,23827.63,0,100760.89,0,0,Doctor,Damansara Heights,7,3338.5,Not Fraud
Goh bin Ah Meng,goh.ah.meng57@gmail.com,600606-57-7863,014-13701037,4920.08,0,48897.54,429,0,Farmer,Cheras,8,3007.31,Not Fraud
Lee binti Siew Mei,lee.siew.mei87@outlook.my,561021-11-4196,016-76073904,14853,2665.82,65637.5,420,0,Sales Manager,Petaling Jaya,2,2832.95,Not Fraud
Goh binti Hui Xin,goh.hui.xin34@gmail.com,040624-48-2494,010-69104138,0.0,36990.7,84970.92,97,0,Unemployed,Cheras,4,4527.65,Fraud
Abdullah bin Muhammad,abdullah.muhammad47@outlook.my,650213-41-3567,012-4725081,5645,75717.4,76267.88,0,0,Sales Manager,Bangsar,1,4853.89,Fraud
Syazwan bin Khairul,syazwan.khairul80@gmail.com,711028-45-1337,012-5950726,5906.09,0,189724.56,0,1,IT Specialist,Damansara Heights,2,3398.04,Fraud
Azizah binti Razak,azizah.razak32@msn.com,500830-36-8254,017-36752598,15076.37,32587.94,176363.96,429,3,Accountant,Damansara Heights,4,4388.51,Not Fraud
Ali bin Singh,ali.singh57@hotmail.com,861014-23-1745,010-5778864,15236.22,32109.31,0,374,1,IT Specialist,Mont Kiara,5,3318.31,Not Fraud
Chua bin Wei Lun,chua.wei.lun10@gmail.com,680927-22-1129,016-95405358,34966.2,18505.22,0,0,0,Business Owner,Kuala Lumpur City Centre,4,258.12,Not Fraud
Amirul bin Razak,amirul.razak37@gmail.com,600320-36-1301,016-95712072,13285,80002.14,0,0,0,Accountant,Bangsar,7,3108.53,Not Fraud
Ismail bin Syazwan,ismail.syazwan72@hotmail.com,970701-58-9895,012-39592078,13931.6,15926.35,0,0,0,Teacher,Cheras,1,2226.2,Not Fraud
Aminah binti Razak,aminah.razak74@hotmail.com,991119-49-2570,019-5352269,28164,89506.36,177591.14,279,0,Engineer,Subang Jaya,12,2929.59,Not Fraud
Lee binti Shi Hui,lee.shi.hui4@hotmail.com,510512-37-9578,013-07671266,4056,30456.9,100600.33,0,3,Farmer,Petaling Jaya,10,4617.14,Not Fraud
Razak bin Ismail,razak.ismail29@hotmail.com,651213-34-3969,014-2282699,0,0,0,0,0,Unemployed,Subang Jaya,3,2708.8,Not Fraud
Ganesh bin Mani,ganesh.mani51@outlook.my,890331-50-2257,011-17225667,13651,75062.8,78438.6,0,0,IT Specialist,Petaling Jaya,11,3371.85,Not Fraud
Farah binti Khan,farah.khan21@hotmail.com,660726-23-3658,018-67906482,11147.45,94285.79,0,105,0,IT Specialist,Kuala Lumpur City Centre,10,3534.29,Not Fraud
Noraini binti binti Abdullah,noraini..abdullah54@outlook.my,801221-35-5308,012-23572879,10382,88013.27,190335.0,409,2,Accountant,Bangsar,6,4519.24,Not Fraud
Aminah binti Abdullah,aminah.abdullah34@yahoo.com,700128-40-4558,016-6632108,17202.5,0,0,0,0,Doctor,Mont Kiara,3,4633.5,Not Fraud
Tan binti Mei Ling,tan.mei.ling67@outlook.my,740218-23-2032,014-0884117,0.0,94034.97,70244.56,208,1,Unemployed,Mont Kiara,2,82.58,Fraud
Yap bin Wei Lun,yap.wei.lun89@gmail.com,561114-35-1871,013-60346582,11302,83104.72,175718.25,0,0,Accountant,Petaling Jaya,5,2157.82,Not Fraud
Aminah binti binti Abdullah,aminah..abdullah27@msn.com,920629-52-4990,017-18234802,6946.51,12424.12,154699.24,0,3,Farmer,Cheras,11,3955.03,Not Fraud
Lim bin Wei Lun,lim.wei.lun14@yahoo.com,890609-51-9697,019-5024297,7000.25,91143.99,63496.68,350,0,Retired,Kuala Lumpur City Centre,9,207.89,Not Fraud
Teoh binti Hui Xin,teoh.hui.xin42@yahoo.com,060206-03-1396,017-21238537,8421,8462.28,0,423,0,Teacher,Petaling Jaya,6,648.09,Not Fraud
Aishah binti bin Abdullah,aishah..abdullah26@outlook.my,650427-05-2292,011-0153434,24813.3,33570.16,102964.25,0,0,Engineer,Kuala Lumpur City Centre,5,3392.24,Not Fraud
Chua bin Jia Hao,chua.jia.hao1@yahoo.com,830709-04-8445,010-9651003,3213.99,95490.01,92184.55,417,0,Retired,Kuala Lumpur City Centre,7,466.73,Fraud
Nur binti Khairul,nur.khairul86@hotmail.com,680807-33-9978,010-4485841,2768,45990.88,24916.83,477,0,Farmer,Petaling Jaya,11,993.84,Fraud
Abdullah bin Ali,abdullah.ali88@hotmail.com,780727-33-4875,016-7723615,17208,0,44344.66,0,0,Doctor,Petaling Jaya,8,4493.49,Not Fraud
Lim bin Kok Leong,lim.kok.leong46@outlook.my,531029-39-1933,019-6673908,0.0,3756.65,67924.72,115,3,Unemployed,Damansara Heights,12,1864.85,Fraud
Hafiz bin Amirul,hafiz.amirul54@hotmail.com,980616-02-2169,017-0529388,27032,68749.55,93507.39,410,0,Engineer,Bangsar,5,592.54,Not Fraud
Noraini binti Singh,noraini.singh56@gmail.com,970810-23-3018,016-8228891,14299.7,23723.64,0,358,0,Sales Manager,Mont Kiara,1,1244.23,Not Fraud
Yap bin Jia Hao,yap.jia.hao4@outlook.my,790625-57-8481,012-12944565,28406,57865.99,0,0,0,Business Owner,Subang Jaya,5,1548.89,Not Fraud
Ali bin Syazwan,ali.syazwan21@yahoo.com,801121-29-6699,018-6728285,7020,27499.43,59695.43,0,0,Teacher,Petaling Jaya,3,2769.16,Fraud
Aishah binti Ahmad,aishah.ahmad77@outlook.my,030618-35-5616,018-2999505,9123,38751.82,180716.86,0,1,Accountant,Petaling Jaya,2,4650.62,Not Fraud
Ahmad bin Ali,ahmad.ali75@outlook.my,651006-35-4611,018-7544712,4077.71,72744.83,35443.77,0,0,Retired,Mont Kiara,9,3758.82,Not Fraud
Nur binti Ahmad,nur.ahmad12@outlook.my,050120-40-4074,014-6434812,10457.88,0,0,399,0,Business Owner,Damansara Heights,6,3682.68,Fraud
Razak bin Abdullah,razak.abdullah88@outlook.my,600209-52-2065,018-80928983,9880.31,95902.25,173303.59,374,0,IT Specialist,Mont Kiara,6,212.46,Not Fraud
Farah binti Muhammad,farah.muhammad32@hotmail.com,001125-26-9056,014-12488451,11922,0,197243.34,0,0,Accountant,Subang Jaya,6,2761.92,Not Fraud
Razak bin binti Abdullah,razak..abdullah16@yahoo.com,840425-44-1515,018-3137520,20368.26,46178.18,0,0,0,Business Owner,Mont Kiara,6,3981.28,Not Fraud
Zainab binti Abdullah,zainab.abdullah32@hotmail.com,870322-41-9312,011-92465458,6409.21,9668.0,20040.85,469,2,Retired,Kuala Lumpur City Centre,2,3554.42,Not Fraud
Wong binti Mei Ling,wong.mei.ling19@msn.com,960711-23-5462,014-5858845,7498.14,85831.99,43707.69,317,0,Sales Manager,Mont Kiara,2,4681.27,Not Fraud
Hafiz bin Ismail,hafiz.ismail78@gmail.com,830607-25-3353,010-52947256,4059.67,76754.38,0,0,0,Farmer,Kuala Lumpur City Centre,8,4545.07,Fraud
Lim binti Hui Xin,lim.hui.xin58@gmail.com,570322-45-3920,013-92255444,17643.86,48303.16,0,0,0,Accountant,Kuala Lumpur City Centre,4,3164.62,Not Fraud
Amirul bin Khan,amirul.khan90@msn.com,710604-04-3837,013-41891349,9832,76880.5,51062.14,0,0,Teacher,Subang Jaya,5,2686.45,Not Fraud
Amirul bin Abdullah,amirul.abdullah67@msn.com,800916-52-1187,016-7675010,5078,98316.52,162871.4,0,5,Teacher,Petaling Jaya,8,4834.1,Not Fraud
Razak bin Hafiz,razak.hafiz52@outlook.my,960428-55-1865,017-46673673,1804,0,73424.08,0,0,Retired,Petaling Jaya,7,3728.37,Fraud
Ismail bin Hafiz,ismail.hafiz40@hotmail.com,920510-22-3969,014-24646368,20775,31254.29,0,0,0,Engineer,Bangsar,11,1301.96,Not Fraud
Farah binti Ahmad,farah.ahmad87@outlook.my,630310-35-4144,010-1540291,12586,12717.6,17331.05,0,0,IT Specialist,Bangsar,5,2971.74,Not Fraud
Tan bin Wei Kang,tan.wei.kang62@hotmail.com,800917-43-3727,017-3600153,24884.23,78091.56,87839.85,25,0,Doctor,Kuala Lumpur City Centre,4,3233.65,Not Fraud
Yap bin Jun Jie,yap.jun.jie79@yahoo.com,641215-21-8573,011-4645299,6463.06,30483.22,0,0,0,IT Specialist,Kuala Lumpur City Centre,10,1372.45,Not Fraud
Ali bin bin Abdullah,ali..abdullah68@gmail.com,670119-02-7319,013-2128778,4807.93,29735.85,78019.02,478,0,Retired,Damansara Heights,12,2107.8,Not Fraud
Syazwan bin Ali,syazwan.ali69@msn.com,690121-31-4715,017-7868194,14980.57,27281.98,0,0,4,IT Specialist,Cheras,10,3457.56,Not Fraud
Sharifah binti Syazwan,sharifah.syazwan75@yahoo.com,621122-03-6110,012-5079743,15365.26,0,0,0,5,Sales Manager,Cheras,2,2619.25,Not Fraud
Nur binti Khan,nur.khan91@gmail.com,561120-05-7940,013-64123916,20179.33,63881.61,0,0,5,Business Owner,Cheras,11,1420.9,Not Fraud
Lakshmi binti Saravanan,lakshmi.saravanan60@msn.com,941113-04-6806,016-5233758,9605.78,72152.54,95235.62,0,0,Accountant,Cheras,7,3919.09,Not Fraud
